ItemName,Category,Year,ItemUnit,ItemValue
空氣污染實收罰鍰/營建工程,桃園市,101,千元,3266 
空氣污染實收罰鍰/營建工程,臺北市,101,千元,180 
空氣污染實收罰鍰/營建工程,新北市,101,千元,6067 
空氣污染實收罰鍰/營建工程,總計,101,千元,37733 
空氣污染實收罰鍰/總計,連江縣,101,千元,20 
空氣污染實收罰鍰/總計,金門縣,101,千元,320 
空氣污染實收罰鍰/總計,嘉義市,101,千元,1476 
空氣污染實收罰鍰/總計,新竹市,101,千元,3598 
空氣污染實收罰鍰/總計,基隆市,101,千元,3143 
空氣污染實收罰鍰/總計,澎湖縣,101,千元,7 
空氣污染實收罰鍰/總計,花蓮縣,101,千元,95813 
空氣污染實收罰鍰/總計,臺東縣,101,千元,1214 
空氣污染實收罰鍰/總計,屏東縣,101,千元,6086 
空氣污染實收罰鍰/總計,嘉義縣,101,千元,5467 
空氣污染實收罰鍰/總計,雲林縣,101,千元,21157 
空氣污染實收罰鍰/總計,南投縣,101,千元,3221 
空氣污染實收罰鍰/總計,彰化縣,101,千元,13071 
空氣污染實收罰鍰/總計,苗栗縣,101,千元,6517 
空氣污染實收罰鍰/總計,新竹縣,101,千元,7268 
空氣污染實收罰鍰/總計,宜蘭縣,101,千元,6255 
空氣污染實收罰鍰/總計,高雄市,101,千元,44652 
空氣污染實收罰鍰/總計,臺南市,101,千元,13175 
空氣污染實收罰鍰/總計,臺中市,101,千元,20423 
空氣污染實收罰鍰/總計,桃園市,101,千元,41043 
空氣污染實收罰鍰/總計,臺北市,101,千元,18300 
空氣污染實收罰鍰/總計,新北市,101,千元,37837 
空氣污染實收罰鍰/總計,總計,101,千元,350061 
空氣污染實收罰鍰/移動污染源,連江縣,105,千元,3 
空氣污染實收罰鍰/移動污染源,金門縣,105,千元,8 
空氣污染實收罰鍰/移動污染源,嘉義市,105,千元,722 
空氣污染實收罰鍰/移動污染源,新竹市,105,千元,1236 
空氣污染實收罰鍰/移動污染源,基隆市,105,千元,2151 
空氣污染實收罰鍰/移動污染源,澎湖縣,105,千元,－
空氣污染實收罰鍰/移動污染源,花蓮縣,105,千元,2159 
空氣污染實收罰鍰/移動污染源,臺東縣,105,千元,2176 
空氣污染實收罰鍰/移動污染源,屏東縣,105,千元,2216 
空氣污染實收罰鍰/移動污染源,嘉義縣,105,千元,1943 
空氣污染實收罰鍰/移動污染源,雲林縣,105,千元,934 
空氣污染實收罰鍰/移動污染源,南投縣,105,千元,610 
空氣污染實收罰鍰/移動污染源,彰化縣,105,千元,4739 
空氣污染實收罰鍰/移動污染源,苗栗縣,105,千元,1932 
空氣污染實收罰鍰/移動污染源,新竹縣,105,千元,2405 
空氣污染實收罰鍰/移動污染源,宜蘭縣,105,千元,763 
空氣污染實收罰鍰/移動污染源,高雄市,105,千元,6629 
空氣污染實收罰鍰/移動污染源,臺南市,105,千元,3561 
空氣污染實收罰鍰/移動污染源,臺中市,105,千元,8045 
空氣污染實收罰鍰/移動污染源,桃園市,105,千元,3957 
空氣污染實收罰鍰/移動污染源,臺北市,105,千元,11037 
空氣污染實收罰鍰/移動污染源,新北市,105,千元,8197 
空氣污染實收罰鍰/移動污染源,總計,105,千元,65422 
空氣污染實收罰鍰/其他固定污染源,連江縣,105,千元,100 
空氣污染實收罰鍰/其他固定污染源,金門縣,105,千元,85 
空氣污染實收罰鍰/其他固定污染源,嘉義市,105,千元,410 
空氣污染實收罰鍰/其他固定污染源,新竹市,105,千元,1521 
空氣污染實收罰鍰/其他固定污染源,基隆市,105,千元,445 
空氣污染實收罰鍰/其他固定污染源,澎湖縣,105,千元,260 
空氣污染實收罰鍰/其他固定污染源,花蓮縣,105,千元,4690 
空氣污染實收罰鍰/其他固定污染源,臺東縣,105,千元,635 
空氣污染實收罰鍰/其他固定污染源,屏東縣,105,千元,1614 
空氣污染實收罰鍰/其他固定污染源,嘉義縣,105,千元,2020 
空氣污染實收罰鍰/其他固定污染源,雲林縣,105,千元,8777 
空氣污染實收罰鍰/其他固定污染源,南投縣,105,千元,1992 
空氣污染實收罰鍰/其他固定污染源,彰化縣,105,千元,17732 
空氣污染實收罰鍰/其他固定污染源,苗栗縣,105,千元,3443 
空氣污染實收罰鍰/其他固定污染源,新竹縣,105,千元,7873 
空氣污染實收罰鍰/其他固定污染源,宜蘭縣,105,千元,5583 
空氣污染實收罰鍰/其他固定污染源,高雄市,105,千元,45172 
空氣污染實收罰鍰/其他固定污染源,臺南市,105,千元,11717 
空氣污染實收罰鍰/其他固定污染源,臺中市,105,千元,20906 
空氣污染實收罰鍰/其他固定污染源,桃園市,105,千元,36198 
空氣污染實收罰鍰/其他固定污染源,臺北市,105,千元,3643 
空氣污染實收罰鍰/其他固定污染源,新北市,105,千元,14762 
空氣污染實收罰鍰/其他固定污染源,總計,105,千元,189576 
空氣污染實收罰鍰/營建工程,連江縣,105,千元,23 
空氣污染實收罰鍰/營建工程,金門縣,105,千元,3 
空氣污染實收罰鍰/營建工程,嘉義市,105,千元,－
空氣污染實收罰鍰/營建工程,新竹市,105,千元,2120 
空氣污染實收罰鍰/營建工程,基隆市,105,千元,662 
空氣污染實收罰鍰/營建工程,澎湖縣,105,千元,－
空氣污染實收罰鍰/營建工程,花蓮縣,105,千元,651 
空氣污染實收罰鍰/營建工程,臺東縣,105,千元,35 
空氣污染實收罰鍰/營建工程,屏東縣,105,千元,721 
空氣污染實收罰鍰/營建工程,嘉義縣,105,千元,1142 
空氣污染實收罰鍰/營建工程,雲林縣,105,千元,1458 
空氣污染實收罰鍰/營建工程,南投縣,105,千元,－
空氣污染實收罰鍰/營建工程,彰化縣,105,千元,240 
空氣污染實收罰鍰/營建工程,苗栗縣,105,千元,40 
空氣污染實收罰鍰/營建工程,新竹縣,105,千元,1740 
空氣污染實收罰鍰/營建工程,宜蘭縣,105,千元,2711 
空氣污染實收罰鍰/營建工程,高雄市,105,千元,2924 
空氣污染實收罰鍰/營建工程,臺南市,105,千元,3173 
空氣污染實收罰鍰/營建工程,臺中市,105,千元,1099 
空氣污染實收罰鍰/營建工程,桃園市,105,千元,4729 
空氣污染實收罰鍰/營建工程,臺北市,105,千元,740 
空氣污染實收罰鍰/營建工程,新北市,105,千元,5558 
空氣污染實收罰鍰/營建工程,總計,105,千元,29765 
空氣污染實收罰鍰/總計,連江縣,105,千元,126 
空氣污染實收罰鍰/總計,金門縣,105,千元,96 
空氣污染實收罰鍰/總計,嘉義市,105,千元,1132 
空氣污染實收罰鍰/總計,新竹市,105,千元,4877 
空氣污染實收罰鍰/總計,基隆市,105,千元,3258 
空氣污染實收罰鍰/總計,澎湖縣,105,千元,260 
空氣污染實收罰鍰/總計,花蓮縣,105,千元,7499 
空氣污染實收罰鍰/總計,臺東縣,105,千元,2846 
空氣污染實收罰鍰/總計,屏東縣,105,千元,4551 
空氣污染實收罰鍰/總計,嘉義縣,105,千元,5104 
空氣污染實收罰鍰/總計,雲林縣,105,千元,11169 
空氣污染實收罰鍰/總計,南投縣,105,千元,2601 
空氣污染實收罰鍰/總計,彰化縣,105,千元,22711 
空氣污染實收罰鍰/總計,苗栗縣,105,千元,5415 
空氣污染實收罰鍰/總計,新竹縣,105,千元,12018 
空氣污染實收罰鍰/總計,宜蘭縣,105,千元,9056 
空氣污染實收罰鍰/總計,高雄市,105,千元,54724 
空氣污染實收罰鍰/總計,臺南市,105,千元,18451 
空氣污染實收罰鍰/總計,臺中市,105,千元,30050 
空氣污染實收罰鍰/總計,桃園市,105,千元,44885 
空氣污染實收罰鍰/總計,臺北市,105,千元,15419 
空氣污染實收罰鍰/總計,新北市,105,千元,28517 
空氣污染實收罰鍰/總計,總計,105,千元,284763 
空氣污染實收罰鍰/移動污染源,連江縣,104,千元,8 
空氣污染實收罰鍰/移動污染源,金門縣,104,千元,32 
空氣污染實收罰鍰/移動污染源,嘉義市,104,千元,913 
空氣污染實收罰鍰/移動污染源,新竹市,104,千元,1154 
空氣污染實收罰鍰/移動污染源,基隆市,104,千元,2313 
空氣污染實收罰鍰/移動污染源,澎湖縣,104,千元,－
空氣污染實收罰鍰/移動污染源,花蓮縣,104,千元,2141 
空氣污染實收罰鍰/移動污染源,臺東縣,104,千元,1605 
空氣污染實收罰鍰/移動污染源,屏東縣,104,千元,1748 
空氣污染實收罰鍰/移動污染源,嘉義縣,104,千元,2580 
空氣污染實收罰鍰/移動污染源,雲林縣,104,千元,1107 
空氣污染實收罰鍰/移動污染源,南投縣,104,千元,599 
空氣污染實收罰鍰/移動污染源,彰化縣,104,千元,5889 
空氣污染實收罰鍰/移動污染源,苗栗縣,104,千元,1596 
空氣污染實收罰鍰/移動污染源,新竹縣,104,千元,2329 
空氣污染實收罰鍰/移動污染源,宜蘭縣,104,千元,1187 
空氣污染實收罰鍰/移動污染源,高雄市,104,千元,12767 
空氣污染實收罰鍰/移動污染源,臺南市,104,千元,4258 
空氣污染實收罰鍰/移動污染源,臺中市,104,千元,8885 
空氣污染實收罰鍰/移動污染源,桃園市,104,千元,6009 
空氣污染實收罰鍰/移動污染源,臺北市,104,千元,15001 
空氣污染實收罰鍰/移動污染源,新北市,104,千元,12600 
空氣污染實收罰鍰/移動污染源,總計,104,千元,84720 
空氣污染實收罰鍰/其他固定污染源,連江縣,104,千元,－
空氣污染實收罰鍰/其他固定污染源,金門縣,104,千元,415 
空氣污染實收罰鍰/其他固定污染源,嘉義市,104,千元,355 
空氣污染實收罰鍰/其他固定污染源,新竹市,104,千元,2910 
空氣污染實收罰鍰/其他固定污染源,基隆市,104,千元,978 
空氣污染實收罰鍰/其他固定污染源,澎湖縣,104,千元,260 
空氣污染實收罰鍰/其他固定污染源,花蓮縣,104,千元,6905 
空氣污染實收罰鍰/其他固定污染源,臺東縣,104,千元,520 
空氣污染實收罰鍰/其他固定污染源,屏東縣,104,千元,4948 
空氣污染實收罰鍰/其他固定污染源,嘉義縣,104,千元,2753 
空氣污染實收罰鍰/其他固定污染源,雲林縣,104,千元,4618 
空氣污染實收罰鍰/其他固定污染源,南投縣,104,千元,1465 
空氣污染實收罰鍰/其他固定污染源,彰化縣,104,千元,11394 
空氣污染實收罰鍰/其他固定污染源,苗栗縣,104,千元,5745 
空氣污染實收罰鍰/其他固定污染源,新竹縣,104,千元,8174 
空氣污染實收罰鍰/其他固定污染源,宜蘭縣,104,千元,4420 
空氣污染實收罰鍰/其他固定污染源,高雄市,104,千元,56556 
空氣污染實收罰鍰/其他固定污染源,臺南市,104,千元,12762 
空氣污染實收罰鍰/其他固定污染源,臺中市,104,千元,56767 
空氣污染實收罰鍰/其他固定污染源,桃園市,104,千元,41297 
空氣污染實收罰鍰/其他固定污染源,臺北市,104,千元,4144 
空氣污染實收罰鍰/其他固定污染源,新北市,104,千元,14038 
空氣污染實收罰鍰/其他固定污染源,總計,104,千元,241423 
空氣污染實收罰鍰/營建工程,連江縣,104,千元,－
空氣污染實收罰鍰/營建工程,金門縣,104,千元,3 
空氣污染實收罰鍰/營建工程,嘉義市,104,千元,40 
空氣污染實收罰鍰/營建工程,新竹市,104,千元,3860 
空氣污染實收罰鍰/營建工程,基隆市,104,千元,580 
空氣污染實收罰鍰/營建工程,澎湖縣,104,千元,－
空氣污染實收罰鍰/營建工程,花蓮縣,104,千元,446 
空氣污染實收罰鍰/營建工程,臺東縣,104,千元,40 
空氣污染實收罰鍰/營建工程,屏東縣,104,千元,814 
空氣污染實收罰鍰/營建工程,嘉義縣,104,千元,606 
空氣污染實收罰鍰/營建工程,雲林縣,104,千元,4159 
空氣污染實收罰鍰/營建工程,南投縣,104,千元,80 
空氣污染實收罰鍰/營建工程,彰化縣,104,千元,680 
空氣污染實收罰鍰/營建工程,苗栗縣,104,千元,－
空氣污染實收罰鍰/營建工程,新竹縣,104,千元,2330 
空氣污染實收罰鍰/營建工程,宜蘭縣,104,千元,938 
空氣污染實收罰鍰/營建工程,高雄市,104,千元,6237 
空氣污染實收罰鍰/營建工程,臺南市,104,千元,4029 
空氣污染實收罰鍰/營建工程,臺中市,104,千元,2300 
空氣污染實收罰鍰/營建工程,桃園市,104,千元,11133 
空氣污染實收罰鍰/營建工程,臺北市,104,千元,2001 
空氣污染實收罰鍰/營建工程,新北市,104,千元,8080 
空氣污染實收罰鍰/營建工程,總計,104,千元,48354 
空氣污染實收罰鍰/總計,連江縣,104,千元,8 
空氣污染實收罰鍰/總計,金門縣,104,千元,450 
空氣污染實收罰鍰/總計,嘉義市,104,千元,1308 
空氣污染實收罰鍰/總計,新竹市,104,千元,7924 
空氣污染實收罰鍰/總計,基隆市,104,千元,3871 
空氣污染實收罰鍰/總計,澎湖縣,104,千元,260 
空氣污染實收罰鍰/總計,花蓮縣,104,千元,9492 
空氣污染實收罰鍰/總計,臺東縣,104,千元,2165 
空氣污染實收罰鍰/總計,屏東縣,104,千元,7509 
空氣污染實收罰鍰/總計,嘉義縣,104,千元,5939 
空氣污染實收罰鍰/總計,雲林縣,104,千元,9884 
空氣污染實收罰鍰/總計,南投縣,104,千元,2144 
空氣污染實收罰鍰/總計,彰化縣,104,千元,17963 
空氣污染實收罰鍰/總計,苗栗縣,104,千元,7341 
空氣污染實收罰鍰/總計,新竹縣,104,千元,12833 
空氣污染實收罰鍰/總計,宜蘭縣,104,千元,6545 
空氣污染實收罰鍰/總計,高雄市,104,千元,75559 
空氣污染實收罰鍰/總計,臺南市,104,千元,21048 
空氣污染實收罰鍰/總計,臺中市,104,千元,67952 
空氣污染實收罰鍰/總計,桃園市,104,千元,58439 
空氣污染實收罰鍰/總計,臺北市,104,千元,21146 
空氣污染實收罰鍰/總計,新北市,104,千元,34717 
空氣污染實收罰鍰/總計,總計,104,千元,374497 
空氣污染實收罰鍰/移動污染源,連江縣,103,千元,－
空氣污染實收罰鍰/移動污染源,金門縣,103,千元,6 
空氣污染實收罰鍰/移動污染源,嘉義市,103,千元,1168 
空氣污染實收罰鍰/移動污染源,新竹市,103,千元,547 
空氣污染實收罰鍰/移動污染源,基隆市,103,千元,3329 
空氣污染實收罰鍰/移動污染源,澎湖縣,103,千元,－
空氣污染實收罰鍰/移動污染源,花蓮縣,103,千元,2481 
空氣污染實收罰鍰/移動污染源,臺東縣,103,千元,1860 
空氣污染實收罰鍰/移動污染源,屏東縣,103,千元,1909 
空氣污染實收罰鍰/移動污染源,嘉義縣,103,千元,4061 
空氣污染實收罰鍰/移動污染源,雲林縣,103,千元,1292 
空氣污染實收罰鍰/移動污染源,南投縣,103,千元,832 
空氣污染實收罰鍰/移動污染源,彰化縣,103,千元,5707 
空氣污染實收罰鍰/移動污染源,苗栗縣,103,千元,2020 
空氣污染實收罰鍰/移動污染源,新竹縣,103,千元,2687 
空氣污染實收罰鍰/移動污染源,宜蘭縣,103,千元,1043 
空氣污染實收罰鍰/移動污染源,高雄市,103,千元,6248 
空氣污染實收罰鍰/移動污染源,臺南市,103,千元,5805 
空氣污染實收罰鍰/移動污染源,臺中市,103,千元,7614 
空氣污染實收罰鍰/移動污染源,桃園市,103,千元,6544 
空氣污染實收罰鍰/移動污染源,臺北市,103,千元,16125 
空氣污染實收罰鍰/移動污染源,新北市,103,千元,10409 
空氣污染實收罰鍰/移動污染源,總計,103,千元,81688 
空氣污染實收罰鍰/其他固定污染源,連江縣,103,千元,110 
空氣污染實收罰鍰/其他固定污染源,金門縣,103,千元,135 
空氣污染實收罰鍰/其他固定污染源,嘉義市,103,千元,5 
空氣污染實收罰鍰/其他固定污染源,新竹市,103,千元,1230 
空氣污染實收罰鍰/其他固定污染源,基隆市,103,千元,745 
空氣污染實收罰鍰/其他固定污染源,澎湖縣,103,千元,100 
空氣污染實收罰鍰/其他固定污染源,花蓮縣,103,千元,175250 
空氣污染實收罰鍰/其他固定污染源,臺東縣,103,千元,530 
空氣污染實收罰鍰/其他固定污染源,屏東縣,103,千元,5715 
空氣污染實收罰鍰/其他固定污染源,嘉義縣,103,千元,2990 
空氣污染實收罰鍰/其他固定污染源,雲林縣,103,千元,5667 
空氣污染實收罰鍰/其他固定污染源,南投縣,103,千元,1005 
空氣污染實收罰鍰/其他固定污染源,彰化縣,103,千元,6027 
空氣污染實收罰鍰/其他固定污染源,苗栗縣,103,千元,3464 
空氣污染實收罰鍰/其他固定污染源,新竹縣,103,千元,7395 
空氣污染實收罰鍰/其他固定污染源,宜蘭縣,103,千元,6014 
空氣污染實收罰鍰/其他固定污染源,高雄市,103,千元,41860 
空氣污染實收罰鍰/其他固定污染源,臺南市,103,千元,10645 
空氣污染實收罰鍰/其他固定污染源,臺中市,103,千元,23342 
空氣污染實收罰鍰/其他固定污染源,桃園市,103,千元,38379 
空氣污染實收罰鍰/其他固定污染源,臺北市,103,千元,4019 
空氣污染實收罰鍰/其他固定污染源,新北市,103,千元,21148 
空氣污染實收罰鍰/其他固定污染源,總計,103,千元,355775 
空氣污染實收罰鍰/營建工程,連江縣,103,千元,－
空氣污染實收罰鍰/營建工程,金門縣,103,千元,3 
空氣污染實收罰鍰/營建工程,嘉義市,103,千元,190 
空氣污染實收罰鍰/營建工程,新竹市,103,千元,3080 
空氣污染實收罰鍰/營建工程,基隆市,103,千元,607 
空氣污染實收罰鍰/營建工程,澎湖縣,103,千元,－
空氣污染實收罰鍰/營建工程,花蓮縣,103,千元,790 
空氣污染實收罰鍰/營建工程,臺東縣,103,千元,180 
空氣污染實收罰鍰/營建工程,屏東縣,103,千元,1066 
空氣污染實收罰鍰/營建工程,嘉義縣,103,千元,380 
空氣污染實收罰鍰/營建工程,雲林縣,103,千元,2935 
空氣污染實收罰鍰/營建工程,南投縣,103,千元,120 
空氣污染實收罰鍰/營建工程,彰化縣,103,千元,1140 
空氣污染實收罰鍰/營建工程,苗栗縣,103,千元,340 
空氣污染實收罰鍰/營建工程,新竹縣,103,千元,1935 
空氣污染實收罰鍰/營建工程,宜蘭縣,103,千元,1138 
空氣污染實收罰鍰/營建工程,高雄市,103,千元,4001 
空氣污染實收罰鍰/營建工程,臺南市,103,千元,3489 
空氣污染實收罰鍰/營建工程,臺中市,103,千元,3872 
空氣污染實收罰鍰/營建工程,桃園市,103,千元,8540 
空氣污染實收罰鍰/營建工程,臺北市,103,千元,1802 
空氣污染實收罰鍰/營建工程,新北市,103,千元,13802 
空氣污染實收罰鍰/營建工程,總計,103,千元,49407 
空氣污染實收罰鍰/總計,連江縣,103,千元,110 
空氣污染實收罰鍰/總計,金門縣,103,千元,144 
空氣污染實收罰鍰/總計,嘉義市,103,千元,1363 
空氣污染實收罰鍰/總計,新竹市,103,千元,4857 
空氣污染實收罰鍰/總計,基隆市,103,千元,4681 
空氣污染實收罰鍰/總計,澎湖縣,103,千元,100 
空氣污染實收罰鍰/總計,花蓮縣,103,千元,178521 
空氣污染實收罰鍰/總計,臺東縣,103,千元,2570 
空氣污染實收罰鍰/總計,屏東縣,103,千元,8689 
空氣污染實收罰鍰/總計,嘉義縣,103,千元,7431 
空氣污染實收罰鍰/總計,雲林縣,103,千元,9893 
空氣污染實收罰鍰/總計,南投縣,103,千元,1957 
空氣污染實收罰鍰/總計,彰化縣,103,千元,12874 
空氣污染實收罰鍰/總計,苗栗縣,103,千元,5825 
空氣污染實收罰鍰/總計,新竹縣,103,千元,12017 
空氣污染實收罰鍰/總計,宜蘭縣,103,千元,8195 
空氣污染實收罰鍰/總計,高雄市,103,千元,52109 
空氣污染實收罰鍰/總計,臺南市,103,千元,19939 
空氣污染實收罰鍰/總計,臺中市,103,千元,34828 
空氣污染實收罰鍰/總計,桃園市,103,千元,53463 
空氣污染實收罰鍰/總計,臺北市,103,千元,21946 
空氣污染實收罰鍰/總計,新北市,103,千元,45359 
空氣污染實收罰鍰/總計,總計,103,千元,486870 
空氣污染實收罰鍰/移動污染源,連江縣,102,千元,－
空氣污染實收罰鍰/移動污染源,金門縣,102,千元,43 
空氣污染實收罰鍰/移動污染源,嘉義市,102,千元,1159 
空氣污染實收罰鍰/移動污染源,新竹市,102,千元,367 
空氣污染實收罰鍰/移動污染源,基隆市,102,千元,2650 
空氣污染實收罰鍰/移動污染源,澎湖縣,102,千元,－
空氣污染實收罰鍰/移動污染源,花蓮縣,102,千元,1908 
空氣污染實收罰鍰/移動污染源,臺東縣,102,千元,1715 
空氣污染實收罰鍰/移動污染源,屏東縣,102,千元,1893 
空氣污染實收罰鍰/移動污染源,嘉義縣,102,千元,2967 
空氣污染實收罰鍰/移動污染源,雲林縣,102,千元,1092 
空氣污染實收罰鍰/移動污染源,南投縣,102,千元,1019 
空氣污染實收罰鍰/移動污染源,彰化縣,102,千元,4899 
空氣污染實收罰鍰/移動污染源,苗栗縣,102,千元,2582 
空氣污染實收罰鍰/移動污染源,新竹縣,102,千元,2026 
空氣污染實收罰鍰/移動污染源,宜蘭縣,102,千元,1729 
空氣污染實收罰鍰/移動污染源,高雄市,102,千元,13912 
空氣污染實收罰鍰/移動污染源,臺南市,102,千元,5451 
空氣污染實收罰鍰/移動污染源,臺中市,102,千元,6274 
空氣污染實收罰鍰/移動污染源,桃園市,102,千元,10874 
空氣污染實收罰鍰/移動污染源,臺北市,102,千元,16714 
空氣污染實收罰鍰/移動污染源,新北市,102,千元,7970 
空氣污染實收罰鍰/移動污染源,總計,102,千元,87243 
空氣污染實收罰鍰/其他固定污染源,連江縣,102,千元,10 
空氣污染實收罰鍰/其他固定污染源,金門縣,102,千元,115 
空氣污染實收罰鍰/其他固定污染源,嘉義市,102,千元,263 
空氣污染實收罰鍰/其他固定污染源,新竹市,102,千元,610 
空氣污染實收罰鍰/其他固定污染源,基隆市,102,千元,610 
空氣污染實收罰鍰/其他固定污染源,澎湖縣,102,千元,－
空氣污染實收罰鍰/其他固定污染源,花蓮縣,102,千元,181050 
空氣污染實收罰鍰/其他固定污染源,臺東縣,102,千元,630 
空氣污染實收罰鍰/其他固定污染源,屏東縣,102,千元,3812 
空氣污染實收罰鍰/其他固定污染源,嘉義縣,102,千元,1939 
空氣污染實收罰鍰/其他固定污染源,雲林縣,102,千元,8793 
空氣污染實收罰鍰/其他固定污染源,南投縣,102,千元,690 
空氣污染實收罰鍰/其他固定污染源,彰化縣,102,千元,5266 
空氣污染實收罰鍰/其他固定污染源,苗栗縣,102,千元,2516 
空氣污染實收罰鍰/其他固定污染源,新竹縣,102,千元,4130 
空氣污染實收罰鍰/其他固定污染源,宜蘭縣,102,千元,3265 
空氣污染實收罰鍰/其他固定污染源,高雄市,102,千元,39800 
空氣污染實收罰鍰/其他固定污染源,臺南市,102,千元,5680 
空氣污染實收罰鍰/其他固定污染源,臺中市,102,千元,25334 
空氣污染實收罰鍰/其他固定污染源,桃園市,102,千元,29609 
空氣污染實收罰鍰/其他固定污染源,臺北市,102,千元,5900 
空氣污染實收罰鍰/其他固定污染源,新北市,102,千元,19904 
空氣污染實收罰鍰/其他固定污染源,總計,102,千元,339924 
空氣污染實收罰鍰/營建工程,連江縣,102,千元,5 
空氣污染實收罰鍰/營建工程,金門縣,102,千元,100 
空氣污染實收罰鍰/營建工程,嘉義市,102,千元,433 
空氣污染實收罰鍰/營建工程,新竹市,102,千元,2620 
空氣污染實收罰鍰/營建工程,基隆市,102,千元,967 
空氣污染實收罰鍰/營建工程,澎湖縣,102,千元,－
空氣污染實收罰鍰/營建工程,花蓮縣,102,千元,605 
空氣污染實收罰鍰/營建工程,臺東縣,102,千元,962 
空氣污染實收罰鍰/營建工程,屏東縣,102,千元,1120 
空氣污染實收罰鍰/營建工程,嘉義縣,102,千元,860 
空氣污染實收罰鍰/營建工程,雲林縣,102,千元,6993 
空氣污染實收罰鍰/營建工程,南投縣,102,千元,566 
空氣污染實收罰鍰/營建工程,彰化縣,102,千元,460 
空氣污染實收罰鍰/營建工程,苗栗縣,102,千元,240 
空氣污染實收罰鍰/營建工程,新竹縣,102,千元,1300 
空氣污染實收罰鍰/營建工程,宜蘭縣,102,千元,908 
空氣污染實收罰鍰/營建工程,高雄市,102,千元,2600 
空氣污染實收罰鍰/營建工程,臺南市,102,千元,2966 
空氣污染實收罰鍰/營建工程,臺中市,102,千元,1961 
空氣污染實收罰鍰/營建工程,桃園市,102,千元,7741 
空氣污染實收罰鍰/營建工程,臺北市,102,千元,2111 
空氣污染實收罰鍰/營建工程,新北市,102,千元,9177 
空氣污染實收罰鍰/營建工程,總計,102,千元,44691 
空氣污染實收罰鍰/總計,連江縣,102,千元,15 
空氣污染實收罰鍰/總計,金門縣,102,千元,258 
空氣污染實收罰鍰/總計,嘉義市,102,千元,1855 
空氣污染實收罰鍰/總計,新竹市,102,千元,3597 
空氣污染實收罰鍰/總計,基隆市,102,千元,4226 
空氣污染實收罰鍰/總計,澎湖縣,102,千元,－
空氣污染實收罰鍰/總計,花蓮縣,102,千元,183562 
空氣污染實收罰鍰/總計,臺東縣,102,千元,3307 
空氣污染實收罰鍰/總計,屏東縣,102,千元,6824 
空氣污染實收罰鍰/總計,嘉義縣,102,千元,5766 
空氣污染實收罰鍰/總計,雲林縣,102,千元,16877 
空氣污染實收罰鍰/總計,南投縣,102,千元,2275 
空氣污染實收罰鍰/總計,彰化縣,102,千元,10625 
空氣污染實收罰鍰/總計,苗栗縣,102,千元,5338 
空氣污染實收罰鍰/總計,新竹縣,102,千元,7456 
空氣污染實收罰鍰/總計,宜蘭縣,102,千元,5902 
空氣污染實收罰鍰/總計,高雄市,102,千元,56312 
空氣污染實收罰鍰/總計,臺南市,102,千元,14096 
空氣污染實收罰鍰/總計,臺中市,102,千元,33569 
空氣污染實收罰鍰/總計,桃園市,102,千元,48224 
空氣污染實收罰鍰/總計,臺北市,102,千元,24725 
空氣污染實收罰鍰/總計,新北市,102,千元,37051 
空氣污染實收罰鍰/總計,總計,102,千元,471858 
空氣污染實收罰鍰/移動污染源,連江縣,101,千元,－
空氣污染實收罰鍰/移動污染源,金門縣,101,千元,20 
空氣污染實收罰鍰/移動污染源,嘉義市,101,千元,1246 
空氣污染實收罰鍰/移動污染源,新竹市,101,千元,443 
空氣污染實收罰鍰/移動污染源,基隆市,101,千元,1343 
空氣污染實收罰鍰/移動污染源,澎湖縣,101,千元,2 
空氣污染實收罰鍰/移動污染源,花蓮縣,101,千元,2045 
空氣污染實收罰鍰/移動污染源,臺東縣,101,千元,791 
空氣污染實收罰鍰/移動污染源,屏東縣,101,千元,1792 
空氣污染實收罰鍰/移動污染源,嘉義縣,101,千元,2642 
空氣污染實收罰鍰/移動污染源,雲林縣,101,千元,1479 
空氣污染實收罰鍰/移動污染源,南投縣,101,千元,928 
空氣污染實收罰鍰/移動污染源,彰化縣,101,千元,3562 
空氣污染實收罰鍰/移動污染源,苗栗縣,101,千元,2916 
空氣污染實收罰鍰/移動污染源,新竹縣,101,千元,1485 
空氣污染實收罰鍰/移動污染源,宜蘭縣,101,千元,1689 
空氣污染實收罰鍰/移動污染源,高雄市,101,千元,14346 
空氣污染實收罰鍰/移動污染源,臺南市,101,千元,5098 
空氣污染實收罰鍰/移動污染源,臺中市,101,千元,6277 
空氣污染實收罰鍰/移動污染源,桃園市,101,千元,21776 
空氣污染實收罰鍰/移動污染源,臺北市,101,千元,10491 
空氣污染實收罰鍰/移動污染源,新北市,101,千元,8404 
空氣污染實收罰鍰/移動污染源,總計,101,千元,88774 
空氣污染實收罰鍰/其他固定污染源,連江縣,101,千元,20 
空氣污染實收罰鍰/其他固定污染源,金門縣,101,千元,200 
空氣污染實收罰鍰/其他固定污染源,嘉義市,101,千元,60 
空氣污染實收罰鍰/其他固定污染源,新竹市,101,千元,975 
空氣污染實收罰鍰/其他固定污染源,基隆市,101,千元,920 
空氣污染實收罰鍰/其他固定污染源,澎湖縣,101,千元,5 
空氣污染實收罰鍰/其他固定污染源,花蓮縣,101,千元,92627 
空氣污染實收罰鍰/其他固定污染源,臺東縣,101,千元,139 
空氣污染實收罰鍰/其他固定污染源,屏東縣,101,千元,2705 
